"csb","date","age_class","n_palu","pev","runoff","humidity","windspeed","aod","fireProp","prop_flood","rain_mm","temp_c","vill_evi","vill_mndwi","vill_ndwigao","prop_res","prop_rice","wealth_score","csb_dist","med_build_100m","mean_twi","mean_twi_rice","prop_sink","elevation","streamDist","animal","edu_prim","imp_latrine","imp_water","kitchen_inside","net_p2","rotavirus","wealth_index","pop","csb_X","csb_Y","csb_type","base_intervention","time_to_district","fee_reim","comm_prog","csb_staff"
"CSB1 AMBALAVOLO","2015-01-01","u5",NA,10.5357848153304,14.5506665013876,0.0165292054840734,3.05395074495793,0.195159223579837,0,NA,NA,NA,NA,NA,NA,0.00390223244515401,0.0274998944296294,-0.196687617219168,6.19683032288107,39.8,6.3758306653726,8.80046357133949,0.0571595152378749,380.944776119403,0.288334272455438,0.646797058571944,0.756412505896723,0.307875644963669,0.0509315098497051,0.766438317753108,0.289976705109649,0.0558240774064829,2.53209486497458,697,47.8376986997078,-20.7328544028977,"CSB1",0,6.233,0,0,0
"CSB1 AMBALAVOLO","2015-02-01","u5",NA,7.17189440516959,12.1893109415056,0.0163120859722815,2.81884138032156,0.246433505019064,0,NA,NA,NA,NA,NA,NA,0.00390223244515401,0.0274998944296294,-0.196687617219168,6.19683032288107,39.8,6.3758306653726,8.80046357133949,0.0571595152378749,380.944776119403,0.288334272455438,0.646797058571944,0.756412505896723,0.307875644963669,0.0509315098497051,0.766438317753108,0.289976705109649,0.0558240774064829,2.53209486497458,699,47.8376986997078,-20.7328544028977,"CSB1",0,6.233,0,0,0
"CSB1 AMBALAVOLO","2015-03-01","u5",NA,12.3670396191129,12.5940023618018,0.0155447563010344,2.92996178531916,0.13661023258967,0,NA,NA,NA,NA,NA,NA,0.00390223244515401,0.0274998944296294,-0.196687617219168,6.19683032288107,39.8,6.3758306653726,8.80046357133949,0.0571595152378749,380.944776119403,0.288334272455438,0.646797058571944,0.756412505896723,0.307875644963669,0.0509315098497051,0.766438317753108,0.289976705109649,0.0558240774064829,2.53209486497458,700,47.8376986997078,-20.7328544028977,"CSB1",0,6.233,0,0,0
"CSB1 AMBALAVOLO","2015-04-01","u5",NA,13.1945477099849,1.56659118619384,0.0148146846103662,2.27015749430543,0.0851448481892464,0,NA,NA,NA,NA,NA,NA,0.00390223244515401,0.0274998944296294,-0.196687617219168,6.19683032288107,39.8,6.3758306653726,8.80046357133949,0.0571595152378749,380.944776119403,0.288334272455438,0.646797058571944,0.756412505896723,0.307875644963669,0.0509315098497051,0.766438317753108,0.289976705109649,0.0558240774064829,2.53209486497458,700,47.8376986997078,-20.7328544028977,"CSB1",0,6.233,0,0,0
"CSB1 AMBALAVOLO","2015-05-01","u5",NA,9.59490584753362,0.747054873540788,0.0138554063247716,2.57345691300098,0.131465449409155,0,NA,NA,NA,NA,NA,NA,0.00390223244515401,0.0274998944296294,-0.196687617219168,6.19683032288107,39.8,6.3758306653726,8.80046357133949,0.0571595152378749,380.944776119403,0.288334272455438,0.646797058571944,0.756412505896723,0.307875644963669,0.0509315098497051,0.766438317753108,0.289976705109649,0.0558240774064829,2.53209486497458,701,47.8376986997078,-20.7328544028977,"CSB1",0,6.233,0,0,0
"CSB1 AMBALAVOLO","2015-06-01","u5",NA,7.69400547721951,0.588297428020072,0.0121481708598916,2.6909866182263,0.123994346733091,0,NA,NA,NA,NA,NA,NA,0.00390223244515401,0.0274998944296294,-0.196687617219168,6.19683032288107,39.8,6.3758306653726,8.80046357133949,0.0571595152378749,380.944776119403,0.288334272455438,0.646797058571944,0.756412505896723,0.307875644963669,0.0509315098497051,0.766438317753108,0.289976705109649,0.0558240774064829,2.53209486497458,702,47.8376986997078,-20.7328544028977,"CSB1",0,6.233,0,0,0
"CSB1 AMBALAVOLO","2015-07-01","u5",0,8.73103728612104,0.395438086595931,0.0111289218698725,2.71356717874838,0.104751909895853,0,NA,NA,NA,NA,NA,NA,0.00390223244515401,0.0274998944296294,-0.196687617219168,6.19683032288107,39.8,6.3758306653726,8.80046357133949,0.0571595152378749,380.944776119403,0.288334272455438,0.646797058571944,0.756412505896723,0.307875644963669,0.0509315098497051,0.766438317753108,0.289976705109649,0.0558240774064829,2.53209486497458,704,47.8376986997078,-20.7328544028977,"CSB1",0,6.233,0,0,0
"CSB1 AMBALAVOLO","2015-08-01","u5",4,13.1564381018351,0.290638553637448,0.011011544608789,2.96350422835141,0.167572860185877,0,NA,0,NA,NA,NA,NA,0.00390223244515401,0.0274998944296294,-0.196687617219168,6.19683032288107,39.8,6.3758306653726,8.80046357133949,0.0571595152378749,380.944776119403,0.288334272455438,0.646797058571944,0.756412505896723,0.307875644963669,0.0509315098497051,0.766438317753108,0.289976705109649,0.0558240774064829,2.53209486497458,706,47.8376986997078,-20.7328544028977,"CSB1",0,6.233,0,0,0
"CSB1 AMBALAVOLO","2015-09-01","u5",2,15.022193100367,0.215055281223343,0.0113961450032984,3.24063773258344,0.217986964387381,0.0093990495971032,NA,5.83351514295278,NA,0.38695160986874,-0.537899120428544,0.0845607755727814,0.00390223244515401,0.0274998944296294,-0.196687617219168,6.19683032288107,39.8,6.3758306653726,8.80046357133949,0.0571595152378749,380.944776119403,0.288334272455438,0.646797058571944,0.756412505896723,0.307875644963669,0.0509315098497051,0.766438317753108,0.289976705109649,0.0558240774064829,2.53209486497458,707,47.8376986997078,-20.7328544028977,"CSB1",0,6.233,0,0,0
"CSB1 AMBALAVOLO","2015-10-01","u5",1,20.5550504385384,0.245993172665491,0.0128499372766613,3.34969572849156,0.366602212652194,0.154812018104506,NA,55.2605157119874,24.9874848120379,0.400177837277693,-0.534214254507869,0.0916600818787508,0.00390223244515401,0.0274998944296294,-0.196687617219168,6.19683032288107,39.8,6.3758306653726,8.80046357133949,0.0571595152378749,380.944776119403,0.288334272455438,0.646797058571944,0.756412505896723,0.307875644963669,0.0509315098497051,0.766438317753108,0.289976705109649,0.0558240774064829,2.53209486497458,707,47.8376986997078,-20.7328544028977,"CSB1",0,6.233,0,0,0
